"Timestamp","VG150 Pack. PBL01","VG221 Pack. PPL02"
"2024-08-14 16:30:00",57.1677861896,121.8378469941
"2024-08-14 16:45:00",56.862090405,121.2346185063
"2024-08-14 17:00:00",57.8669112095,123.1585692082
"2024-08-14 17:15:00",57.8464319537,123.1095333409
"2024-08-14 17:30:00",57.7537167881,122.8935398503
"2024-08-14 17:45:00",57.6555738124,122.6692904678
"2024-08-14 18:00:00",57.7560082199,122.8430817255
"2024-08-14 18:15:00",57.9197256961,123.1848207604
"2024-08-14 18:30:00",58.3896093585,124.1175676364
"2024-08-14 18:45:00",58.4355076746,124.1797342145
"2024-08-14 19:00:00",58.1708838759,123.65824385
"2024-08-14 19:15:00",58.4333426068,124.1574270057
"2024-08-14 19:30:00",58.4700268242,124.267098882
"2024-08-14 19:45:00",58.4607769397,124.2001692735
"2024-08-14 20:00:00",58.249381272,123.8334385485
"2024-08-14 20:15:00",58.6923833278,124.6398550506
"2024-08-14 20:30:00",58.647727756,124.5547542166
"2024-08-14 20:45:00",57.4914763906,122.2875614991
"2024-08-14 21:00:00",57.2996293923,121.9476690715
"2024-08-14 21:15:00",57.6909571081,122.753581326
"2024-08-14 21:30:00",58.1150312351,123.5560099293
"2024-08-14 21:45:00",58.2585424602,123.8431977592
"2024-08-14 22:00:00",58.5740340199,124.499749548
"2024-08-14 22:15:00",58.9069821431,125.1181311916
"2024-08-14 22:30:00",59.1095790376,125.5046868428
"2024-08-14 22:45:00",59.3564154349,126.0400165222
"2024-08-14 23:00:00",59.4262150629,126.160709551
"2024-08-14 23:15:00",59.3997131095,126.099086602
"2024-08-14 23:30:00",58.7924413107,124.9042545741
"2024-08-14 23:45:00",58.4053752039,124.1671084437
"2024-08-15 00:00:00",58.4867172979,124.3423455046
"2024-08-15 00:15:00",58.3988390641,124.1371745399
"2024-08-15 00:30:00",58.5705786684,124.4633214198
"2024-08-15 00:45:00",58.6000857012,124.5331444394
"2024-08-15 01:00:00",58.3183574799,123.9951849256
"2024-08-15 01:15:00",58.6306757998,124.5778271825
"2024-08-15 01:30:00",58.6038301942,124.5399268591
"2024-08-15 01:45:00",58.2462485794,123.8136947095
"2024-08-15 02:00:00",58.4629911959,124.2211781113
"2024-08-15 02:15:00",58.2130511865,123.751318238
"2024-08-15 02:30:00",58.2864930816,123.8764056208
"2024-08-15 02:45:00",58.3801057088,124.0641205355
"2024-08-15 03:00:00",58.405970571,124.1422104654
"2024-08-15 03:15:00",58.4278729815,124.1820421307
"2024-08-15 03:30:00",58.5166797727,124.3516281149
"2024-08-15 03:45:00",58.6304458948,124.5952460994
"2024-08-15 04:00:00",58.7513447887,124.8238047041
"2024-08-15 04:15:00",58.5196958365,124.3686241202
"2024-08-15 04:30:00",58.5545829483,124.4527717646
"2024-08-15 04:45:00",58.5992086901,124.5135128177
"2024-08-15 05:00:00",58.5888464616,124.4756089024
"2024-08-15 05:15:00",58.3495785552,124.0024024056
"2024-08-15 05:30:00",58.2169409943,123.7771635824
"2024-08-15 05:45:00",58.2263646072,123.7785497721
"2024-08-15 06:00:00",58.0556280986,123.4082557912
"2024-08-15 06:15:00",57.9202878801,123.1716668083
"2024-08-15 06:30:00",57.9002262393,123.1452243582
"2024-08-15 06:45:00",57.3237397603,121.9885025768
"2024-08-15 07:00:00",57.3882426105,122.1782674916
"2024-08-15 07:15:00",57.6225148335,122.6530217547
"2024-08-15 07:30:00",57.4314784835,122.2445757221
"2024-08-15 07:45:00",57.561663934,122.4221943515
"2024-08-15 08:00:00",57.2473891988,121.790895073
"2024-08-15 08:15:00",57.624719833,122.5782990001
"2024-08-15 08:30:00",57.550527487,122.4282430502
"2024-08-15 08:45:00",57.2631390108,121.8072385728
"2024-08-15 09:00:00",57.4172673557,122.1532497331
"2024-08-15 09:15:00",57.3556490137,122.0370482616
"2024-08-15 09:30:00",57.6602269144,122.6262547154
"2024-08-15 09:45:00",57.4316056922,122.1917241065
"2024-08-15 10:00:00",57.7536616489,122.7852091265
"2024-08-15 10:15:00",58.0132674547,123.3415888132
"2024-08-15 10:30:00",57.6090685615,122.565390777
"2024-08-15 10:45:00",57.8057462248,122.985159684
"2024-08-15 11:00:00",57.7784798331,122.9179513126
"2024-08-15 11:15:00",57.5972829196,122.5685458807
"2024-08-15 11:30:00",57.6657377576,122.7066900037
"2024-08-15 11:45:00",58.0216670453,123.4191513503
"2024-08-15 12:00:00",57.5012923619,122.3847807413
"2024-08-15 12:15:00",58.1789535192,123.7289588479
"2024-08-15 12:30:00",58.4786642736,124.3391251803
"2024-08-15 12:45:00",58.1352422663,123.6095310409
"2024-08-15 13:00:00",58.9550618288,125.2275897852
"2024-08-15 13:15:00",59.1559753186,125.616411495
"2024-08-15 13:30:00",58.6351021803,124.6002410193
"2024-08-15 13:45:00",57.8359356215,123.0286097069
"2024-08-15 14:00:00",56.8520609499,121.1457245056
"2024-08-15 14:15:00",56.9916330994,121.4593476516
"2024-08-15 14:30:00",50.8911059282,108.3069817779
"2024-08-15 14:45:00",57.7637501738,122.9825304333
"2024-08-15 15:00:00",58.2820457328,123.9497159634
"2024-08-15 15:15:00",58.4548447581,124.3025695349
"2024-08-15 15:30:00",58.5232858326,124.4931480516
"2024-08-15 15:45:00",49.1711931994,123.7740910875
"2024-08-15 16:00:00",42.6917930728,123.3838843483
"2024-08-15 16:15:00",57.9771555417,123.1014614134
"2024-08-15 16:30:00",38.0761698084,119.2804337577
"2024-08-15 16:45:00",33.1246401396,116.4687150853
"2024-08-15 17:00:00",57.9990475045,114.9922963997
"2024-08-15 17:15:00",53.1571990498,115.5628608715
"2024-08-15 17:30:00",20.6265063602,111.22099506
"2024-08-15 17:45:00",58.4999747494,103.7014101617
"2024-08-15 18:00:00",13.4153366238,95.5455097903
"2024-08-15 18:15:00",53.2213732208,92.830809439
"2024-08-15 18:30:00",21.6149898115,92.6101429688
"2024-08-15 18:45:00",44.1910749719,91.2576396926
"2024-08-15 19:00:00",32.1230607414,92.2073847861
"2024-08-15 19:15:00",36.0421369459,94.0428260445
"2024-08-15 19:30:00",37.9088082359,89.0597599479
"2024-08-15 19:45:00",30.5269764604,92.0690560704
"2024-08-15 20:00:00",51.6314646858,95.2873220031
"2024-08-15 20:15:00",20.2702963082,93.19124169
"2024-08-15 20:30:00",58.550239679,95.6031496408
"2024-08-15 20:45:00",15.9136683627,101.2049405105
"2024-08-15 21:00:00",57.9667531599,99.6010755518
"2024-08-15 21:15:00",25.3862098502,96.7593559801
"2024-08-15 21:30:00",47.3083973791,98.4059754629
"2024-08-15 21:45:00",52.0142449553,101.71446936
"2024-08-15 22:00:00",22.768532732,103.5731608095
"2024-08-15 22:15:00",57.7616242756,103.9197242976
"2024-08-15 22:30:00",21.4123806359,100.5115439497
"2024-08-15 22:45:00",52.8867679738,98.5908905376
"2024-08-15 23:00:00",33.617727154,95.7532304132
"2024-08-15 23:15:00",38.1336957162,92.9744873269
"2024-08-15 23:30:00",53.7484176451,89.8290336247
"2024-08-15 23:45:00",16.1932837627,90.6782746335
"2024-08-16 00:00:00",58.3434921617,85.8264985136
"2024-08-16 00:15:00",14.6220492485,86.3074356508
"2024-08-16 00:30:00",56.6350065481,83.7818441843
"2024-08-16 00:45:00",17.8316759241,82.8467044679
"2024-08-16 01:00:00",52.1959539798,85.333006034
"2024-08-16 01:15:00",21.9836046979,88.52677585
"2024-08-16 01:30:00",49.1371778636,90.5059310013
"2024-08-16 01:45:00",27.1366993755,84.7018206048
"2024-08-16 02:00:00",42.5479337472,80.3986398464
"2024-08-16 02:15:00",23.9031652702,80.0518464342
"2024-08-16 02:30:00",45.2047747845,87.7865148488
"2024-08-16 02:45:00",38.532996472,90.7667779538
"2024-08-16 03:00:00",35.4721002588,93.7735460916
"2024-08-16 03:15:00",51.7753992873,94.7697712816
"2024-08-16 03:30:00",18.0820595678,93.3600025702
"2024-08-16 03:45:00",54.861291248,87.1236000784
"2024-08-16 04:00:00",14.2067177603,82.8872037155
